Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Buying Different Phones,Chrome 100.0.4896.88,,,2022-04-14 23:55:15,2022-04-14 23:58:42,3m - 27.112s,PASSED
,,,,,,,
Test Cases/Phones/HTC One M9,Chrome 100.0.4896.88,,,2022-04-14 23:55:16,2022-04-14 23:55:45,28.861s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-14 23:55:16,2022-04-14 23:55:24,7.732s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-14 23:55:24,2022-04-14 23:55:27,2.622s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:55:27,2022-04-14 23:55:28,1.022s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Username_loginusername""), ""Ali12345"")",Chrome 100.0.4896.88,,,2022-04-14 23:55:28,2022-04-14 23:55:29,1.211s,PASSED
"setEncryptedText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Password_loginpassword""), ""T2f+EhbY9lxWCo62oSDqfg=="")",Chrome 100.0.4896.88,,,2022-04-14 23:55:29,2022-04-14 23:55:30,0.583s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:55:30,2022-04-14 23:55:30,0.457s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Phones""))",Chrome 100.0.4896.88,,,2022-04-14 23:55:30,2022-04-14 23:55:32,2.260s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/HTC One M9/Page_STORE/a_HTC One M9""))",Chrome 100.0.4896.88,,,2022-04-14 23:55:32,2022-04-14 23:55:34,1.778s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/HTC One M9/Page_STORE/a_Add to cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:55:34,2022-04-14 23:55:35,1.014s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Cart""))",Chrome 100.0.4896.88,,,2022-04-14 23:55:35,2022-04-14 23:55:36,1.397s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Place Order""))",Chrome 100.0.4896.88,,,2022-04-14 23:55:36,2022-04-14 23:55:38,1.683s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Name_name""), ""Ali"")",Chrome 100.0.4896.88,,,2022-04-14 23:55:38,2022-04-14 23:55:39,0.961s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Country_country""), ""Malaysia"")",Chrome 100.0.4896.88,,,2022-04-14 23:55:39,2022-04-14 23:55:40,0.758s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_City_city""), ""Bayan Lepas"")",Chrome 100.0.4896.88,,,2022-04-14 23:55:40,2022-04-14 23:55:41,0.688s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Credit card_card""), ""123"")",Chrome 100.0.4896.88,,,2022-04-14 23:55:41,2022-04-14 23:55:41,0.780s,PASSED
