Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenarios,Chrome 100.0.4896.88,,,2022-04-15 00:05:11,2022-04-15 00:06:59,1m - 47.982s,PASSED
,,,,,,,
Test Cases/Sign Up,Chrome 100.0.4896.88,,,2022-04-15 00:05:11,2022-04-15 00:05:28,16.397s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 00:05:12,2022-04-15 00:05:20,7.846s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 00:05:20,2022-04-15 00:05:21,1.693s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Sign Up/Page_STORE/a_Sign up""))",Chrome 100.0.4896.88,,,2022-04-15 00:05:21,2022-04-15 00:05:24,2.250s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Sign Up/Page_STORE/input_Username_sign-username""), ""Ali12345"")",Chrome 100.0.4896.88,,,2022-04-15 00:05:24,2022-04-15 00:05:25,1.242s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Sign Up/Page_STORE/input_Password_sign-password""), ""T2f+EhbY9lxWCo62oSDqfg=="")",Chrome 100.0.4896.88,,,2022-04-15 00:05:25,2022-04-15 00:05:26,0.689s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Sign Up/Page_STORE/button_Sign up""))",Chrome 100.0.4896.88,,,2022-04-15 00:05:26,2022-04-15 00:05:26,0.646s,PASSED
closeBrowser(),Chrome 100.0.4896.88,,,2022-04-15 00:05:26,2022-04-15 00:05:28,1.580s,PASSED
,,,,,,,
Test Cases/Login,Chrome 100.0.4896.88,,,2022-04-15 00:05:28,2022-04-15 00:05:37,9.560s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 00:05:28,2022-04-15 00:05:32,3.530s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 00:05:32,2022-04-15 00:05:33,1.263s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 00:05:33,2022-04-15 00:05:35,1.926s,PASSED
"setText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Username_loginusername""), ""Ali12345"")",Chrome 100.0.4896.88,,,2022-04-15 00:05:35,2022-04-15 00:05:36,1.067s,PASSED
"setEncryptedText(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/input_Password_loginpassword""), ""T2f+EhbY9lxWCo62oSDqfg=="")",Chrome 100.0.4896.88,,,2022-04-15 00:05:36,2022-04-15 00:05:37,0.633s,PASSED
"click(findTestObject(""Object Repository/DEMOBLAZE/Login/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-15 00:05:37,2022-04-15 00:05:37,0.536s,PASSED
,,,,,,,
Test Cases/Add To Cart,Chrome 100.0.4896.88,,,2022-04-15 00:05:37,2022-04-15 00:05:50,12.920s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-15 00:05:39,2022-04-15 00:05:45,5.938s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-15 00:05:45,2022-04-15 00:05:46,1.253s,PASSED
